ID;SMILES;Screening;Enzyme activity (%);pIC50;pEC50;pCC50;Crystal structure;;;;
A12;CC(C)c1noc(O)n1;Crystallographic;ND;ND;ND;ND;Y;;;;
B1;NC(=O)c1cccnc1;Crystallographic;ND;ND;ND;ND;Y;;;;
B2;C1CNCc2ccccc12;Crystallographic;ND;ND;ND;ND;;;;;
B3;CCC(N)c1ccccc1O;Crystallographic;ND;ND;ND;ND;;;;;
B4;COc1ccccc1C(N)C#N;Crystallographic;ND;ND;ND;ND;;;;;
B5;CC(=O)c1ccccc1C(=O)O;Crystallographic;ND;ND;ND;ND;;;;;
B6;CC(O)c1ccc(cc1)[N+](=O)[O-];Crystallographic;ND;ND;ND;ND;;;;;
B7;CCN(CC)c1cccc(NC(=O)C)c1;Crystallographic;ND;ND;ND;ND;Y;;;;
B8;CCOC(=O)N1Cc2ccncc2C1;Crystallographic;ND;ND;ND;ND;;;;;
B9;c1cc(c(cc1CON)Cl)Cl;Crystallographic;ND;ND;ND;ND;Y;;;;
B10;B(c1ccccc1)(O)O;Crystallographic;ND;ND;ND;ND;;;;;
B11;Oc1ccc(cc1)C(F)(F)F;Crystallographic;ND;ND;ND;ND;;;;;
B12;c1c(cncc1C(F)(F)F)C#N;Crystallographic;ND;ND;ND;ND;;;;;
C1;Nc1cc(ccc1Cl)C(F)(F)F;Crystallographic;ND;ND;ND;ND;;;;;
C2;COc1c(F)c(F)cc(C(=O)O)c1F;Crystallographic;ND;ND;ND;ND;Y;;;;
C3;COc1cc(Cl)nc(SC)n1;Crystallographic;ND;ND;ND;ND;;;;;
C4;COc1ccnc(NN)n1;Crystallographic;ND;ND;ND;ND;;;;;
C5;COc1cc(CN)ccn1;Crystallographic;ND;ND;ND;ND;;;;;
C6;CC(=O)Nc1ccc(C)c(Cl)c1;Crystallographic;ND;ND;ND;ND;;;;;
C7;C1CC(=O)Nc2ccccc12;Crystallographic;ND;ND;ND;ND;;;;;
C8;CN1C(O)c2ccccc2C1=O;Crystallographic;ND;ND;ND;ND;Y;;;;
C9;COc1ccc2OCCNc2c1;Crystallographic;ND;ND;ND;ND;;;;;
C10;NC(=S)c1ccc2OCOc2c1;Crystallographic;ND;ND;ND;ND;;;;;
C11;CCN(CCC(=O)O)C(=O)c1cccs1;Crystallographic;ND;ND;ND;ND;;;;;
C12;CN(Cc1ccco1)c1cc(Cl)nc(N)n1;Crystallographic;ND;ND;ND;ND;;;;;
D1;Cc1csc(Cc2ccccn2)n1;Crystallographic;ND;ND;ND;ND;;;;;
D2;CCCS(=O)(=O)Nc1cc(N)c(F)cc1F;Crystallographic;ND;ND;ND;ND;Y;;;;
D3;CN1CCC(CC1)NC(=O)OC(C)(C)C;Crystallographic;ND;ND;ND;ND;;;;;
D4;COC(=O)C(N)Cc1ccc(F)cc1;Crystallographic;ND;ND;ND;ND;;;;;
D5;CC(C)(C)OC(=O)NCc1ncccc1F;Crystallographic;ND;ND;ND;ND;;;;;
D6;COc1cccc(c1)C(=O)N1CCCC1;Crystallographic;ND;ND;ND;ND;Y;;;;
D7;Fc1ccccc1S(=O)(=O)NCc1ccco1;Crystallographic;ND;ND;ND;ND;;;;;
D8;CN(C)C(=O)N(C)C1CCS(=O)(=O)C1;Crystallographic;ND;ND;ND;ND;Y;;;;
D9;COC(=O)c1cc(ccc1)Br;Crystallographic;ND;ND;ND;ND;;;;;
D10;Cc1ccc(cc1)NC(C)(C)C(=O)O;Crystallographic;ND;ND;ND;ND;;;;;
D11;OC(=O)CCc1nccs1;Crystallographic;ND;ND;ND;ND;;;;;
D12;CCN(CCO)c1cc(OC)ncn1;Crystallographic;ND;ND;ND;ND;Y;;;;
E1;COC(=O)c1cccc(N)c1O;Crystallographic;ND;ND;ND;ND;;;;;
E2;COC(=O)C1CCCCN1;Crystallographic;ND;ND;ND;ND;;;;;
E3;O=C1CCN(C(=O)N1)c1ccccc1;Crystallographic;ND;ND;ND;ND;;;;;
E4;Nc1cc(no1)c1ccccc1;Crystallographic;ND;ND;ND;ND;;;;;
E5;Cc1ccccc1CC(=O)N;Crystallographic;ND;ND;ND;ND;;;;;
E6;OC1CC2CCC(C1)N2Cc1ccccc1;Crystallographic;ND;ND;ND;ND;Y;;;;
E7;CN1CCCc2cc(CN)ccc12;Crystallographic;ND;ND;ND;ND;Y;;;;
E8;COCCc1nnc(N)o1;Crystallographic;ND;ND;ND;ND;;;;;
E9;COC(=O)Cc1ccc(OC)cc1OC;Crystallographic;ND;ND;ND;ND;;;;;
E10;CC(=O)Nc1c(cc(cc1)F)[N+](=O)[O-];Crystallographic;ND;ND;ND;ND;;;;;
