ID,SMILES,Screening,Enzyme activity (%),pIC50,pEC50,pCC50,Crystal structure,Tanimoto_brequinar,Tanimoto_teriflunomida,Tanimoto_H3D-003181,Tanimoto_QHM-0001063,Tanimoto_QHM-0000370,Tanimoto_QHM-0000001,Tanimoto_2D
QHM-0000119,OC(CNCCc1ccccc1)c1ccccc1,Enzymatic,118,,,,,0.1702127659574468,0.21568627450980393,0.42,0.18867924528301888,0.2564102564102564,0.1875,0.20930232558139536
QHM-0000118,OC(CNCc1ccccc1)c1ccccc1,Enzymatic,105,,,,,0.18604651162790697,0.23404255319148937,0.425531914893617,0.20408163265306123,0.2857142857142857,0.20454545454545456,0.23076923076923078
QHM-0000117,C(CCc1ccccc1)CN1CC1c1ccccc1,Enzymatic,117,,,,,0.25,0.10714285714285714,0.22413793103448276,0.21153846153846154,0.1951219512195122,0.11764705882352941,0.23809523809523808
QHM-0001050,ClC1=NC2=CC=CC=C2NC1=O,Enzymatic,88,,,,,0.5128205128205128,0.2692307692307692,0.36363636363636365,0.5581395348837209,0.358974358974359,0.24489795918367346,0.47368421052631576
QHM-0000939,O=C1C(NC2=CC=C(OC)C=C2)=NC2=CC=CC=C2N1,Enzymatic,64,,,,,0.4166666666666667,0.36363636363636365,0.423728813559322,0.6170212765957447,0.4418604651162791,0.2962962962962963,0.3541666666666667
QHM-0000940,O=C1C(NC2=CC=C(Cl)C=C2)=NC2=CC=CC=C2N1,Enzymatic,95,,,,,0.43478260869565216,0.32727272727272727,0.43859649122807015,0.6444444444444445,0.42857142857142855,0.21428571428571427,0.4
QHM-0000942,O=C1C(NC2=CC3=C(OCCO3)C=C2)=NC2=CC=CC=C2N1,Enzymatic,"108,5",,,,,0.3392857142857143,0.3225806451612903,0.46774193548387094,0.5660377358490566,0.35294117647058826,0.2833333333333333,0.3090909090909091
QHM-0000941,O=C1C(NC2=CC=C(F)C=C2)=NC2=CC=CC=C2N1,Enzymatic,98,,,,,0.4666666666666667,0.35185185185185186,0.4642857142857143,0.6444444444444445,0.42857142857142855,0.21428571428571427,0.4318181818181818
QHM-0001051,O=C1NC(N2CCN(C3=CC=CC=C3)CC2)=NC2=CC=CC=C12,Enzymatic,"115,15",,,,,0.26666666666666666,0.27692307692307694,0.3333333333333333,0.6470588235294118,0.32075471698113206,0.16417910447761194,0.2807017543859649
QHM-0000933,OC1=NC(O)=NC2=CC=CC=C12,Enzymatic,121,,,,,0.36363636363636365,0.3958333333333333,0.3333333333333333,0.6585365853658537,0.3170731707317073,0.2653061224489796,0.425
QHM-0000001,CC(C)=CCC1=C(O)C(=O)C2=CC=CC=C2C1=O,Enzymatic,,"7,113509275","5,823908741","4,173925197",Y,0.3023255813953488,0.2857142857142857,0.2413793103448276,0.18518518518518517,0.16279069767441862,1.0,0.2619047619047619
QHM-0000011,OC1=C(NC2=CC=CC=C2Cl)C(=O)C2=C(C=CC=C2)C1=O,Enzymatic,,"6,698970004","5,638272164","4,113509275",,0.3829787234042553,0.44,0.4727272727272727,0.35185185185185186,0.3111111111111111,0.4888888888888889,0.37777777777777777
QHM-0000020,CC(C)CCC1=C(O)C(=O)C2=C(C=CC=C2)C1=O,Enzymatic,,"6,498940738","5,744727495","4,124938737",,0.2765957446808511,0.2641509433962264,0.22580645161290322,0.1724137931034483,0.14893617021276595,0.8787878787878788,0.2391304347826087
QHM-0000034,OC1=C(NC2=CC=C(Cl)C=C2)C(=O)C2=C(C=CC=C2)C1=O,Enzymatic,,"6,019996628",ND,ND,,0.3829787234042553,0.44,0.4727272727272727,0.35185185185185186,0.3111111111111111,0.4888888888888889,0.37777777777777777
QHM-0000110,OC1=C(Nc2cccc(C(F)(F)F)c2)C(=O)c2ccccc2C1=O,Enzymatic,,"6,627087997","5,823908741","4,318758763",,0.375,0.5208333333333334,0.5471698113207547,0.37037037037037035,0.30434782608695654,0.4782608695652174,0.3695652173913043
QHM-0000230,OC1=C(NC2=CC=C(F)C=C2)C(=O)C2=CC=CC=C2C1=O,Enzymatic,,"5,711750774","5,920818754","5,920818754",,0.41304347826086957,0.46938775510204084,0.5,0.35185185185185186,0.3111111111111111,0.4888888888888889,0.4090909090909091
A1,NCC1CCCCO1,Crystallographic,ND,ND,ND,ND,,0.15217391304347827,0.15384615384615385,0.23214285714285715,0.1509433962264151,0.175,0.14583333333333334,0.16279069767441862
A2,C1CC1c1cscn1,Crystallographic,ND,ND,ND,ND,,0.22857142857142856,0.08695652173913043,0.07272727272727272,0.21428571428571427,0.12121212121212122,0.046511627906976744,0.25
A3,OCc1cccc(Cl)c1,Crystallographic,ND,ND,ND,ND,,0.24242424242424243,0.2,0.2391304347826087,0.08888888888888889,0.12903225806451613,0.19444444444444445,0.3103448275862069
A4,Nc1cccc(n1)C(F)(F)F,Crystallographic,ND,ND,ND,ND,,0.32432432432432434,0.36585365853658536,0.3,0.3902439024390244,0.34375,0.0625,0.35294117647058826
A5,Oc1cccc2CCCc12,Crystallographic,ND,ND,ND,ND,,0.21052631578947367,0.15217391304347827,0.12727272727272726,0.2,0.1111111111111111,0.37142857142857144,0.22857142857142856
A6,CSc1nccnn1,Crystallographic,ND,ND,ND,ND,,0.23809523809523808,0.18,0.13333333333333333,0.30434782608695654,0.1794871794871795,0.08,0.225
A7,Nc1ncccc1CO,Crystallographic,ND,ND,ND,ND,,0.29545454545454547,0.3333333333333333,0.40384615384615385,0.3829787234042553,0.34210526315789475,0.20408163265306123,0.2857142857142857
A8,OC(=O)C1CCCOC1,Crystallographic,ND,ND,ND,ND,,0.21428571428571427,0.16,0.19642857142857142,0.11320754716981132,0.0975609756097561,0.23255813953488372,0.2631578947368421
A9,Nc1nsc2ncccc12,Crystallographic,ND,ND,ND,ND,,0.24489795918367346,0.19298245614035087,0.18461538461538463,0.40816326530612246,0.27906976744186046,0.08620689655172414,0.2608695652173913
A10,OCCc1ccccn1,Crystallographic,ND,ND,ND,ND,,0.2894736842105263,0.19148936170212766,0.3,0.2391304347826087,0.16216216216216217,0.1590909090909091,0.35294117647058826
A11,CCOc1ccnc(F)c1,Crystallographic,ND,ND,ND,ND,,0.43243243243243246,0.2765957446808511,0.23214285714285715,0.2978723404255319,0.175,0.2222222222222222,0.42857142857142855
